name,sex,hobby
1,f,25
1,f,23
1,f,42
1,f,31
1,f,6
1,f,37
1,f,18
1,f,19
1,f,15
1,f,38
1,f,43
1,f,1
1,f,46
1,f,21
1,f,16
1,f,13
1,f,41
1,f,35
1,f,2
1,f,32
1,f,44
1,f,10
1,f,28
1,f,9
1,f,27
1,f,33
1,f,8
1,f,29
1,f,45
1,f,30
1,f,11
1,f,22
1,f,4
1,f,39
1,f,17
1,f,5
2,f,32
2,f,28
2,f,42
2,f,13
2,f,44
2,f,21
2,f,40
2,f,20
2,f,46
2,f,23
2,f,17
2,f,27
2,f,16
2,f,5
2,f,8
2,f,29
2,f,49
2,f,50
2,f,33
2,f,45
2,f,2
2,f,39
2,f,48
2,f,38
2,f,7
2,f,26
2,f,35
2,f,4
2,f,12
2,f,36
3,m,11
3,m,20
3,m,13
3,m,9
3,m,31
3,m,16
3,m,5
3,m,30
3,m,23
3,m,38
3,m,43
3,m,17
3,m,35
3,m,24
3,m,33
3,m,12
3,m,28
3,m,18
3,m,40
3,m,7
3,m,1
3,m,26
3,m,15
3,m,47
3,m,49
3,m,10
3,m,29
3,m,3
3,m,14
3,m,39
3,m,32
3,m,48
3,m,8
3,m,44
4,f,30
4,f,3
4,f,19
4,f,1
4,f,18
4,f,29
4,f,36
4,f,14
4,f,11
4,f,23
4,f,15
4,f,5
4,f,46
4,f,27
4,f,22
4,f,42
4,f,20
4,f,16
4,f,34
4,f,38
4,f,25
4,f,8
4,f,41
4,f,21
4,f,31
4,f,39
4,f,32
4,f,7
4,f,49
4,f,6
4,f,12
4,f,24
4,f,33
4,f,50
4,f,44
4,f,47
4,f,35
4,f,4
4,f,13
4,f,28
4,f,9
4,f,45
4,f,48
4,f,37
4,f,40
5,m,39
5,m,42
5,m,13
5,m,49
5,m,17
5,m,44
5,m,12
5,m,23
5,m,37
5,m,48
5,m,33
5,m,38
5,m,15
5,m,8
5,m,27
5,m,16
5,m,10
5,m,24
5,m,9
5,m,7
5,m,28
5,m,36
5,m,20
5,m,47
5,m,50
5,m,30
5,m,3
5,m,21
5,m,11
5,m,5
5,m,46
5,m,45
5,m,14
5,m,40
5,m,6
5,m,22
5,m,18
5,m,19
5,m,43
5,m,35
5,m,4
5,m,26
5,m,34
6,f,41
6,f,19
6,f,7
6,f,42
6,f,1
6,f,23
6,f,45
6,f,24
6,f,2
6,f,44
6,f,40
6,f,31
6,f,37
6,f,21
6,f,47
6,f,49
6,f,27
6,f,46
6,f,28
6,f,20
6,f,22
6,f,17
6,f,8
6,f,30
6,f,48
6,f,13
6,f,6
6,f,18
6,f,26
6,f,14
6,f,25
6,f,29
6,f,3
6,f,11
6,f,15
6,f,12
6,f,10
6,f,33
6,f,34
6,f,32
6,f,38
6,f,9
6,f,50
7,f,14
7,f,2
7,f,22
7,f,29
7,f,38
7,f,45
7,f,13
7,f,27
7,f,49
7,f,3
7,f,48
7,f,10
7,f,1
7,f,37
7,f,28
7,f,23
7,f,25
7,f,26
7,f,40
7,f,30
